chr5,94637312,94637849,39842c0d-766a-4516-848b-b2cf4c13c2a5,60,-
chr13,90497376,90504758,e5e3bf4b-8f2a-4494-8a0e-f424517c830e,60,+
chr18,24899794,24900995,f85a5e2b-58e2-4545-a23a-8ef4d9dbae9c,60,-
chr17,44277385,44281813,171640c1-d120-47e2-9be9-ab7d4fe0e775,60,+
chr18,25594848,25598654,72998076-a74c-4bf9-bef7-5e0a5dcce074,60,-
chr2,150160777,150164503,b39e8edd-06cb-4847-b093-131b8960f63a,60,+
chr9,15572909,15575451,81d6c5f6-da96-4c38-9dd8-77e19956280e,60,-
chr4,28243945,28244574,81d6c5f6-da96-4c38-9dd8-77e19956280e,60,-
chr14,69467619,69468022,d3b4f645-25b7-4bc1-9b00-61e58d70575f,60,+
chr18,1472273,1476702,e1bb2729-0d8d-48d3-b84f-6c878239c629,60,-
chr5,135839961,135844535,275bc073-6e2a-4547-b927-98778adaa538,60,-
chr18,2308156,2308951,b491eb60-79fe-4b11-a4e5-98758ebed1fa,60,-
chr8,57965966,57973630,fbe4f2d7-73c0-4e1f-95ac-88d9d7cda449,60,-
chr9,37295940,37296757,c8beb88f-9d36-497f-ab9c-402a3a70171e,60,+
chr7,3914499,3916251,8fea7cb1-36ce-4396-907d-0f5a5ec7f07d,60,-
chr4,35130003,35130864,261a1e4d-0285-4b7d-ae67-5813adce2921,60,-
chr18,58076407,58079934,4b0fbd78-a5a7-4dc3-9047-a3261a8a1edd,60,+
chr6,122848008,122850677,67f0e494-b3f6-4642-bbc3-8968e5c86650,60,+
chr19,23604651,23608247,b73f8edd-f08a-425c-a24f-3b0eee5e3e13,60,-
chr5,120285892,120286431,8a9a46ee-7d4b-4bc7-893a-6737d0d8e66f,60,-
chr2,215141415,215144632,299c1ebe-af3f-49f9-bf52-802c307788f6,60,-
chr6,150684972,150685738,48719aad-7bdc-48cb-af44-985077a3cbcf,60,-
chr7,61969121,61970329,cd983114-73da-413d-8518-c88c6e762616,60,-
chr4,7788680,7789581,ecd1336d-cdc6-4316-9108-7cef13febb87,60,+
chr10,120188765,120189834,8da3aafa-d2df-4905-a1ab-7c894da869f5,60,-
chr3,13913967,13916914,06312398-40d9-4128-9f27-87a337fca5a8,60,-
